no,상품명,가격,품절,카테고리,URL
897,"퍼퓸 핸드크림 튤립 앳 던",15,000원,,"바디케어","https://www.petitfee.com/product/퍼퓸-핸드크림-튤립-앳-던/897/category/93/display/1/"
71,"드라이 에센스 손팩 10매",30,000원,,"바디케어","https://www.petitfee.com/product/드라이-에센스-손팩-10매/71/category/93/display/1/"
70,"드라이 에센스 발팩 10매",30,000원,,"바디케어","https://www.petitfee.com/product/드라이-에센스-발팩-10매/70/category/93/display/1/"
21,"골드 넥크림",27,000원,,"바디케어","https://www.petitfee.com/product/골드-넥크림/21/category/93/display/1/"
20,"골드 넥 패치 5매",15,000원,,"바디케어","https://www.petitfee.com/product/골드-넥-패치-5매/20/category/93/display/1/"
726,"로즈페탈 새틴 레그 마스크",8,000원,,"바디케어","https://www.petitfee.com/product/로즈페탈-새틴-레그-마스크/726/category/93/display/1/"
725,"로즈페탈 새틴 힐 마스크",2,500원,,"바디케어","https://www.petitfee.com/product/로즈페탈-새틴-힐-마스크/725/category/93/display/1/"
724,"로즈페탈 새틴 헤어 마스크",5,500원,,"바디케어","https://www.petitfee.com/product/로즈페탈-새틴-헤어-마스크/724/category/93/display/1/"
723,"로즈페탈 새틴 핸드 마스크",3,300원,,"바디케어","https://www.petitfee.com/product/로즈페탈-새틴-핸드-마스크/723/category/93/display/1/"
722,"로즈페탈 새틴 풋 마스크",3,300원,,"바디케어","https://www.petitfee.com/product/로즈페탈-새틴-풋-마스크/722/category/93/display/1/"
284,"마데카소사이드 클래릴파잉 바디 스프레이(바디트러블 미스트)",20,000원,,"바디케어","https://www.petitfee.com/product/마데카소사이드-클래릴파잉-바디-스프레이바디트러블-미스트/284/category/93/display/1/"
73,"멜팅 에센스 손팩 10매",30,000원,,"바디케어","https://www.petitfee.com/product/멜팅-에센스-손팩-10매/73/category/93/display/1/"
74,"멜팅 에센스 발팩 10매",30,000원,,"바디케어","https://www.petitfee.com/product/멜팅-에센스-발팩-10매/74/category/93/display/1/"
851,"컴포팅 시카 패드",25,000원,,"스킨케어","https://www.petitfee.com/product/컴포팅-시카-패드/851/category/94/display/1/"
757,"카밍 스팟 트리트먼트",12,000원,,"스킨케어","https://www.petitfee.com/product/카밍-스팟-트리트먼트/757/category/94/display/1/"
833,"블랙헤드 리무빙 스트립스",7,000원,,"스킨케어","https://www.petitfee.com/product/블랙헤드-리무빙-스트립스/833/category/94/display/1/"
755,"블랙헤드 멜팅 마스크 5매",9,000원,,"스킨케어","https://www.petitfee.com/product/블랙헤드-멜팅-마스크-5매/755/category/94/display/1/"
748,"센텔라 클리어링 스팟 패치",3,000원,,"스킨케어","https://www.petitfee.com/product/센텔라-클리어링-스팟-패치/748/category/94/display/1/"
752,"뷰티파잉 토너",20,000원,,"스킨케어","https://www.petitfee.com/product/뷰티파잉-토너/752/category/94/display/1/"
441,"펩타이트닝 아이크림",25,000원,,"스킨케어","https://www.petitfee.com/product/펩타이트닝-아이크림/441/category/94/display/1/"
440,"슈퍼 볼륨 립오일",20,000원,,"스킨케어","https://www.petitfee.com/product/슈퍼-볼륨-립오일/440/category/94/display/1/"
101,"슈퍼 씨드 립오일",15,000원,,"스킨케어","https://www.petitfee.com/product/슈퍼-씨드-립오일/101/category/94/display/1/"
32,"동백오일 립마스크",18,000원,,"스킨케어","https://www.petitfee.com/product/동백오일-립마스크/32/category/94/display/1/"
69,"씨벅톤오일 립마스크",18,000원,,"스킨케어","https://www.petitfee.com/product/씨벅톤오일-립마스크/69/category/94/display/1/"
26,"눈연꽃 미백 톤업크림",15,000원,,"스킨케어","https://www.petitfee.com/product/눈연꽃-미백-톤업크림/26/category/94/display/1/"
948,"[0원 체험] 저자극 효소클렌저 (파우더워시 여행용) 3매입 X 3개",0원,,"클렌저","https://www.petitfee.com/product/0원-체험-저자극-효소클렌저-파우더워시-여행용-3매입-x-3개/948/category/116/display/1/"
934,"저자극 효소클렌저 (파우더워시 여행용) 3매입",2,000원,,"클렌저","https://www.petitfee.com/product/저자극-효소클렌저-파우더워시-여행용-3매입/934/category/116/display/1/"
894,"저자극 효소클렌저 (파우더워시 여행용)",17,000원,,"클렌저","https://www.petitfee.com/product/저자극-효소클렌저-파우더워시-여행용/894/category/116/display/1/"
183,"저자극 효소클렌저(파우더워시)",25,000원,,"클렌저","https://www.petitfee.com/product/저자극-효소클렌저파우더워시/183/category/116/display/1/"
756,"클래리파잉AHA 젤 클렌저",12,000원,,"클렌저","https://www.petitfee.com/product/클래리파잉aha-젤-클렌저/756/category/116/display/1/"
749,"뷰티파잉 무드온 클렌저",25,000원,,"클렌저","https://www.petitfee.com/product/뷰티파잉-무드온-클렌저/749/category/116/display/1/"
917,"뷰티파잉 포어 패드",25,000원,,"마스크팩/팩","https://www.petitfee.com/product/뷰티파잉-포어-패드/917/category/123/display/1/"
875,"아우라 쿼츠 립 마스크",3,000원,,"마스크팩/팩","https://www.petitfee.com/product/아우라-쿼츠-립-마스크/875/category/123/display/1/"
594,"[기획특가] 하이드로겔 마스크팩 8종 1+1",46,000원,,"마스크팩/팩|기획 세트","https://www.petitfee.com/product/기획특가-하이드로겔-마스크팩-8종-11/594/category/123/display/1/"
825,"아우라 쿼츠 하이드로겔 마스크팩 5매",23,000원,,"마스크팩/팩","https://www.petitfee.com/product/아우라-쿼츠-하이드로겔-마스크팩-5매/825/category/123/display/1/"
19,"골드 마스크팩 5매",23,000원,,"마스크팩/팩","https://www.petitfee.com/product/골드-마스크팩-5매/19/category/123/display/1/"
460,"아가베 쿨링 마스크팩 5매",23,000원,,"마스크팩/팩","https://www.petitfee.com/product/아가베-쿨링-마스크팩-5매/460/category/123/display/1/"
712,"카카오 에너자이징 마스크팩 5매",23,000원,,"마스크팩/팩","https://www.petitfee.com/product/카카오-에너자이징-마스크팩-5매/712/category/123/display/1/"
331,"흑진주 골드 마스크팩 5매",23,000원,,"마스크팩/팩","https://www.petitfee.com/product/흑진주-골드-마스크팩-5매/331/category/123/display/1/"
458,"카모마일 라이트닝 마스크팩 5매",23,000원,,"마스크팩/팩","https://www.petitfee.com/product/카모마일-라이트닝-마스크팩-5매/458/category/123/display/1/"
647,"아티초크 수딩 마스크팩 5매",23,000원,,"마스크팩/팩","https://www.petitfee.com/product/아티초크-수딩-마스크팩-5매/647/category/123/display/1/"
22,"골드 스네일 마스크팩 5매",23,000원,,"마스크팩/팩","https://www.petitfee.com/product/골드-스네일-마스크팩-5매/22/category/123/display/1/"
892,"[기획 특가] 아우라쿼츠 마스크팩+아이패치 세트",50,000원,,"기획 세트","https://www.petitfee.com/product/기획-특가-아우라쿼츠-마스크팩아이패치-세트/892/category/163/display/1/"
891,"[기획 특가] 카카오 에너자이징 마스크팩+아이패치 세트",46,000원,,"기획 세트","https://www.petitfee.com/product/기획-특가-카카오-에너자이징-마스크팩아이패치-세트/891/category/163/display/1/"
890,"[기획 특가] 아티초크 수딩 마스크팩+아이패치 세트",46,000원,,"기획 세트","https://www.petitfee.com/product/기획-특가-아티초크-수딩-마스크팩아이패치-세트/890/category/163/display/1/"
490,"골드 넥케어 세트",42,000원,,"기획 세트","https://www.petitfee.com/product/골드-넥케어-세트/490/category/163/display/1/"
500,"[기획 특가] 아가베 쿨링 마스크팩+아이패치 세트",46,000원,,"기획 세트","https://www.petitfee.com/product/기획-특가-아가베-쿨링-마스크팩아이패치-세트/500/category/163/display/1/"
499,"[기획 특가] 카모마일 마스크팩+아이패치 세트",46,000원,,"기획 세트","https://www.petitfee.com/product/기획-특가-카모마일-마스크팩아이패치-세트/499/category/163/display/1/"
497,"[기획 특가] 골드 마스크팩+아이패치 세트",46,000원,,"기획 세트","https://www.petitfee.com/product/기획-특가-골드-마스크팩아이패치-세트/497/category/163/display/1/"
498,"[기획 특가] 흑진주 마스크팩+아이패치 세트",46,000원,,"기획 세트","https://www.petitfee.com/product/기획-특가-흑진주-마스크팩아이패치-세트/498/category/163/display/1/"
